Designator,Mid X,Mid Y,Layer,Rotation
C1, 6.35,11.18,Top,270.0
C2, 5.84,18.80,Top,90.0
C3,43.18,11.68,Top,270.0
C4,40.64,20.32,Top,90.0
R1,16.76,13.46,Top,90.0
R4,18.80,25.65,Top,90.0
R5,36.32,22.10,Top,270.0
R6,33.27,22.10,Top,270.0
R7,30.23,22.10,Top,270.0
R8,41.66,25.40,Top,270.0
R9,44.70,25.40,Top,270.0
R10,47.75,25.40,Top,270.0
R11, 9.65,25.65,Top,270.0
R12,12.70,25.65,Top,270.0
R13,15.75,25.65,Top,270.0
R14, 6.60,25.65,Top,270.0
R15,27.18,22.10,Top,270.0
R16,38.61,25.40,Top,270.0
U1,10.92,17.27,Top,90.0
U2,45.47,18.03,Top,90.0
