Designator,Mid X,Mid Y,Layer,Rotation
D1, 2.03,37.34,Top,270.0
Q1,20.32,35.05,Top,90.0
Q2,11.18,35.05,Top,90.0
Q3,47.75,35.05,Top,90.0
Q4, 5.84,11.68,Top,90.0
Q5,34.80,14.48,Top,90.0
Q6,47.75,11.68,Top,90.0
Q7,43.43,11.68,Top,90.0
Q8,37.85,23.88,Top,90.0
Q9,39.62,35.05,Top,90.0
Q10,39.12,11.68,Top,90.0
Q11,43.43,23.88,Top,90.0
Q13,34.04,35.05,Top,90.0
Q14,30.48,11.68,Top,90.0
R1,31.75,23.62,Top,0.0
R2,23.37,34.80,Top,90.0
R3,14.22,34.80,Top,90.0
R4, 4.83,37.34,Top,90.0
R14,50.55,34.54,Top,90.0
R17, 5.84, 8.64,Top,180.0
R18,34.80,11.43,Top,180.0
R19,34.80,17.53,Top,0.0
R20, 5.84,14.73,Top,180.0
R21,47.75,38.10,Top,180.0
R22,11.18,38.10,Top,180.0
R23,20.32,38.10,Top,180.0
R24,30.48, 8.64,Top,180.0
R25,36.83,34.80,Top,90.0
R26,43.43,20.83,Top,180.0
R27,39.12, 8.64,Top,180.0
R28,42.42,34.80,Top,90.0
R29,37.85,20.83,Top,180.0
R30,43.43, 8.64,Top,180.0
R31,47.75, 8.64,Top,180.0
R32,30.48,14.73,Top,0.0
R33,34.04,38.10,Top,0.0
R34,43.43,26.92,Top,180.0
R35,39.12,14.73,Top,0.0
R36,39.62,38.10,Top,0.0
R37,37.85,26.92,Top,180.0
R38,43.43,14.73,Top,0.0
R39,47.75,14.73,Top,0.0
